Date,Stock Price,Value,Implied Vol,Delta,Hedging Error,PNL,PNL with Hedge
2011-07-05,532.440000,44.200000,0.257331,0.722637,0.000000,0.000000,0.000000
2011-07-06,535.360000,46.900000,0.266821,0.733315,-0.592467,-2.700000,-0.592467
2011-07-07,546.600000,55.300000,0.267358,0.787518,-0.160288,-11.100000,-0.752755
2011-07-08,531.990000,43.950000,0.265971,0.719383,-0.158168,0.250000,-0.910923
2011-07-11,527.280000,41.000000,0.273216,0.691510,-0.440587,3.200000,-1.351510
2011-07-12,534.010000,46.400000,0.283903,0.722755,-0.748462,-2.200000,-2.099972
2011-07-13,538.260000,49.300000,0.284198,0.745031,0.169540,-5.100000,-1.930432
2011-07-14,528.940000,41.150000,0.269296,0.706905,1.204201,3.050000,-0.726230
2011-07-15,597.620000,99.650000,0.278944,0.940426,-9.951776,-55.450000,-10.678007
2011-07-18,594.940000,97.650000,0.297464,0.926197,-0.523159,-53.450000,-11.201165
2011-07-19,602.550000,103.800000,0.263966,0.959877,0.895225,-59.600000,-10.305940
2011-07-20,595.350000,97.800000,0.296687,0.931639,-0.914767,-53.600000,-11.220708
2011-07-21,606.990000,108.150000,0.273238,0.963836,0.490561,-63.950000,-10.730146
2011-07-22,618.230000,118.700000,0.247476,0.985352,0.279647,-74.500000,-10.450499
2011-07-25,618.980000,119.950000,0.291635,0.971154,-0.514961,-75.750000,-10.965461
2011-07-26,622.520000,123.250000,0.284681,0.978094,0.133783,-79.050000,-10.831677
2011-07-27,607.220000,108.650000,0.301473,0.957357,-0.368969,-64.450000,-11.200647
2011-07-28,610.940000,112.100000,0.299381,0.964610,0.107336,-67.900000,-11.093310
2011-07-29,603.690000,106.800000,0.365277,0.924512,-1.697297,-62.600000,-12.790607
