Date,Open,High,Low,Close,Adj Close,Volume
08-06-2022,972,976.049988,956.900024,962.950012,958.294495,1874689
09-06-2022,962.900024,974.299988,955,971.950012,967.250977,1405851
10-06-2022,960,971.599976,960,966.799988,962.125854,776457
13-06-2022,955,984.75,947.799988,954.75,950.134094,3016612
14-06-2022,955,970.799988,950.799988,964.700012,960.036011,1570434
15-06-2022,965,974.900024,964,968.799988,964.11615,1112618
16-06-2022,976,977.75,927.799988,940.950012,936.400818,1898194
17-06-2022,932.200012,944.549988,910.799988,914.75,910.327515,2715476
20-06-2022,914.75,928.150024,902,925.849976,921.37384,942685
21-06-2022,927.099976,944.450012,927.099976,938.200012,933.664124,521963
22-06-2022,931,945,912.799988,916.900024,912.467102,1698830
23-06-2022,917,937.299988,914.400024,933.349976,928.837524,615616
24-06-2022,933,943.5,930,933.700012,929.185913,722838
27-06-2022,936,946.400024,930.549988,932.349976,927.842407,846797
28-06-2022,935,947.799988,921.849976,945.099976,940.530762,931109
29-06-2022,937.049988,961.900024,922.900024,947.650024,943.068481,2455089
30-06-2022,944,944,911.400024,917.200012,912.765686,2433648
01-07-2022,911.200012,956.049988,911.200012,949.299988,944.710449,1793834
04-07-2022,944.599976,950,928.5,930.650024,926.150635,1004832
05-07-2022,935,949.650024,930.25,937.400024,932.868042,1532205
06-07-2022,940,950,933.150024,945.599976,941.02832,1390651
07-07-2022,950.349976,950.349976,933.299988,935.25,930.728394,1390277
08-07-2022,942.25,942.25,927.849976,935.450012,930.927429,1072803
11-07-2022,938,950,927.049988,947.549988,942.968933,1037956
12-07-2022,941.900024,947.349976,934,935.75,931.225952,672406
13-07-2022,940.450012,958.900024,932.150024,953.349976,948.740845,1511059
14-07-2022,953.400024,968.650024,945.150024,951.150024,946.551575,1713101
15-07-2022,963,968,951.5,966.049988,961.379456,1046876
18-07-2022,971.650024,975.400024,960.049988,967.349976,962.673157,846036
19-07-2022,958.200012,974,955.400024,960.650024,956.005615,1162631
20-07-2022,965.700012,982.950012,958.849976,981.5,976.754761,1627220
21-07-2022,985,989.5,966.349976,968.5,963.817627,1681422
22-07-2022,973.5,976.5,967.5,972.099976,967.400208,977238
25-07-2022,976,979.799988,955.049988,959.799988,955.159668,1024751
26-07-2022,959.950012,962,944.5,955.700012,951.079529,988405
27-07-2022,956.900024,976.25,951.799988,974.049988,969.34082,904733
28-07-2022,977,978.950012,964.200012,967.450012,962.772705,1043837
29-07-2022,973.700012,983.950012,953,977.400024,972.674622,2941566
01-08-2022,990,1031,988.299988,1004.549988,999.693359,4647912
02-08-2022,1003.650024,1006.099976,992,1004.200012,999.345032,1184696
03-08-2022,1010,1028.75,1004.5,1011.849976,1006.958008,4052763
04-08-2022,1017.799988,1046.900024,1015,1044.5,1039.450195,2865077
05-08-2022,1040,1045.949951,1032,1034.199951,1029.199951,1561405
08-08-2022,1036.199951,1039.5,1024.099976,1029.550049,1029.550049,767289
10-08-2022,1035.550049,1046.300049,1029.050049,1038.349976,1038.349976,1293683
11-08-2022,1040.5,1049,1035,1038.400024,1038.400024,838963
12-08-2022,1043.599976,1043.599976,1022.349976,1027.150024,1027.150024,1140717
16-08-2022,1027.150024,1036,1025.25,1034.550049,1034.550049,776409
